w,Q,r_ph,Omega,lambda,deltaOmega,deltaLambda,omega_re,omega_im,delta_omega_re,delta_omega_im
0.0,0.07391304347826087,2.7749946481669467,0.2050578580404012,0.20114657491069848,0.01260776831052593,0.008696431890691136,0.8202314321616048,-0.10057328745534924,0.05043107324210372,-0.004348215945345568
0.0,0.0782608695652174,2.761206877067685,0.2058929855076585,0.2017240321598134,0.013442895777783237,0.009273889139806063,0.823571942030634,-0.1008620160799067,0.05377158311113295,-0.0046369445699030315
0.0,0.08260869565217391,2.7473538305707965,0.20673999724081146,0.20230988181286927,0.0142899075109362,0.009859738792861922,0.8269599889632459,-0.10115494090643463,0.0571596300437448,-0.004929869396430961
0.0,0.08695652173913043,2.7334348402805766,0.20759916643719684,0.20290431913836438,0.015149076707321574,0.010454176118357028,0.8303966657487873,-0.10145215956918219,0.060596306829286295,-0.005227088059178514
0.0,0.09130434782608696,2.7194492271576083,0.20847077492904637,0.20350754627651876,0.016020685199171103,0.011057403256511417,0.8338830997161855,-0.10175377313825938,0.06408274079668441,-0.005528701628255708
0.0,0.09565217391304348,2.705396301290513,0.209355113530892,0.20411977131664233,0.016905023801016744,0.011669628296634982,0.837420454123568,-0.10205988565832116,0.06762009520406698,-0.005834814148317491
0.0,0.1,2.69127536165393,0.21025248240396832,0.20474120948489655,0.01780239267409306,0.0122910664648892,0.8410099296158733,-0.10237060474244827,0.07120957069637224,-0.0061455332324446
0.043478260869565216,0.0,3.000000001112835,0.19245008972987526,0.19245014302000735,0.0,0.0,0.769800358919501,-0.09622507151000367,0.0,0.0
0.043478260869565216,0.004347826086956522,2.9868458475414834,0.19314430525844054,0.19294065766562155,0.0006942155285652729,0.0004905146456141984,0.7725772210337621,-0.09647032883281077,0.0027768621142610916,-0.0002452573228070992
0.043478260869565216,0.008695652173913044,2.9736359449130236,0.19384727463180335,0.19343748258574114,0.0013971849019280835,0.0009873395657337969,0.7753890985272134,-0.09671874129287057,0.005588739607712334,-0.0004936697828668984
0.043478260869565216,0.013043478260869566,2.96036978413509,0.19455917598332173,0.19394074815952228,0.0021090862534464683,0.0014906051395149333,0.7782367039332869,-0.09697037407976114,0.008436345013785873,-0.0007453025697574667
0.043478260869565216,0.017391304347826087,2.947046848898647,0.19528019242549718,0.19445058800749945,0.002830102695621922,0.002000444987492106,0.7811207697019887,-0.09722529400374973,0.011320410782487689,-0.001000222493746053
0.043478260869565216,0.021739130434782608,2.933666615534163,0.196010512226967,0.1949671398823297,0.0035604224970917364,0.002516996862322346,0.784042048907868,-0.09748356994116485,0.014241689988366946,-0.001258498431161173
0.043478260869565216,0.026086956521739132,2.9202285528859315,0.19675032899713926,0.19549054513501563,0.004300239267264,0.0030404021150082783,0.787001315988557,-0.09774527256750781,0.017200957069056,-0.0015202010575041391
