target,model,n_train,n_test,rmse,mae,r2
deltaOmega,GaussianProcess,80,496,2.638459456867383e-06,1.0095561289516916e-06,0.9999998743089078
deltaOmega,LinearRegression,80,496,0.001007443519042869,0.0007950072275717615,0.9816749543707256
deltaOmega,PolynomialDegree3,80,496,4.595958349592523e-05,3.347505859623916e-05,0.9999618621840499
deltaOmega,RandomForest,80,496,0.0008821108037747533,0.000643422435391021,0.9859508537861406
deltaLambda,GaussianProcess,80,496,2.612611821280647e-06,9.912410534123146e-07,0.9999998448177357
deltaLambda,LinearRegression,80,496,0.0013410226218769949,0.0010560637739091905,0.9591149514804189
deltaLambda,PolynomialDegree3,80,496,4.347075967312972e-05,3.2287849900038196e-05,0.9999570377746431
deltaLambda,RandomForest,80,496,0.00103031522613141,0.0007565780695635545,0.9758658201291727
