target,model,n_train,n_test,rmse,mae,r2,mean_gp_sigma
deltaOmega,GaussianProcess,80,496,2.638459456867383e-06,1.0095561289516916e-06,0.9999998743089078,2.344844455424975e-06
deltaLambda,GaussianProcess,80,496,2.612611821280647e-06,9.912410534123146e-07,0.9999998448177357,2.2528070264340236e-06
