w_q,k,f_r0,Omega_star,lambda_star,deltaOmega_over_Omega0,deltaLambda_over_lambda0,omega_re,omega_im,delta_omega_re,delta_omega_im
-0.9753086419753086,-0.0007407407407407432,0.33947896355886287,0.19422418036239994,0.19428826502630916,0.00921844533829419,0.009551439019924501,0.7768967214495998,-0.09714413251315458,0.00709636253009871,-0.0009190876482169513
-0.9753086419753086,0.0007407407407407397,0.3271877031078039,0.19067599909735058,0.1906119144334414,-0.00921844533829419,-0.00955143901992439,0.7627039963894023,-0.0953059572167207,-0.00709636253009871,0.0009190876482169374
-0.9753086419753086,0.002222222222222219,0.31489644265674493,0.18712781783230123,0.1869355638405736,-0.02765533601488268,-0.02865431705977317,0.7485112713292049,-0.0934677819202868,-0.02128908759029613,0.0027572629446508262
-0.9753086419753086,0.003703703703703702,0.3026051822056859,0.18357963656725187,0.1832592132477058,-0.04609222669147117,-0.047757195099622285,0.7343185462690075,-0.0916296066238529,-0.03548181265049355,0.004595438241084729
-0.9753086419753086,0.005185185185185185,0.2903139217546269,0.18003145530220252,0.17958286265483803,-0.06452911736805966,-0.06686007313947107,0.7201258212088101,-0.08979143132741901,-0.04967453771069097,0.006433613537518618
-0.9753086419753086,0.0066666666666666645,0.27802266130356795,0.17648327403715316,0.17590651206197025,-0.08296600804464815,-0.08596295117931996,0.7059330961486127,-0.08795325603098512,-0.06386726277088839,0.008271788833952506
-0.9753086419753086,0.008148148148148147,0.26573140085250896,0.1729350927721038,0.17223016146910247,-0.10140289872123665,-0.10506582921916885,0.6917403710884152,-0.08611508073455124,-0.07805998783108581,0.010109964130386395
-0.9753086419753086,0.009629629629629627,0.25344014040144996,0.16938691150705446,0.1685538108762347,-0.11983978939782514,-0.12416870725901774,0.6775476460282178,-0.08427690543811735,-0.09225271289128323,0.011948139426820284
-0.9753086419753086,0.01111111111111111,0.24114887995039097,0.1658387302420051,0.1648774602833669,-0.13827668007441363,-0.14327158529886674,0.6633549209680204,-0.08243873014168344,-0.10644543795148065,0.013786314723254187
-0.9753086419753086,0.01259259259259259,0.228857619499332,0.16229054897695575,0.16120110969049914,-0.15671357075100212,-0.1623744633387154,0.649162195907823,-0.08060055484524957,-0.12063816301167807,0.015624490019688062
-0.9753086419753086,0.014074074074074069,0.21656635904827304,0.15874236771190642,0.1575247590976314,-0.1751504614275905,-0.18147734137856408,0.6349694708476257,-0.0787623795488157,-0.13483088807187538,0.017462665316121936
-0.9753086419753086,0.015555555555555555,0.204275098597214,0.15519418644685704,0.15384840850476358,-0.1935873521041791,-0.2005802194184132,0.6207767457874281,-0.07692420425238179,-0.1490236131320729,0.01930084061255584
