target,model,n_train,n_test,rmse,mae,r2
deltaOmega_over_Omega0,GaussianProcess,80,704,0.00012840245584199033,2.638484517229454e-05,0.9999973089822882
deltaOmega_over_Omega0,LinearRegression,80,704,0.04284338430934095,0.03143862184260089,0.7004030174496721
deltaOmega_over_Omega0,PolynomialDegree3,80,704,0.0023267749355905237,0.0016514031085388347,0.9991163533210327
deltaOmega_over_Omega0,RandomForest,80,704,0.017969303075943327,0.010941741119968677,0.9472973608917198
deltaLambda_over_lambda0,GaussianProcess,80,704,4.55324946201201e-05,1.4403109858370269e-05,0.9999997438889808
deltaLambda_over_lambda0,LinearRegression,80,704,0.043073751131137504,0.032366089334344574,0.7708020317578822
deltaLambda_over_lambda0,PolynomialDegree3,80,704,0.00044576144982920034,0.0002776116160265395,0.9999754534540657
deltaLambda_over_lambda0,RandomForest,80,704,0.01879961884185579,0.012561857787818521,0.9563400270064621
