target,model,n_train,n_test,rmse,mae,r2,mean_gp_sigma
deltaOmega_over_Omega0,GaussianProcess,80,704,0.00012840245584199033,2.638484517229454e-05,0.9999973089822882,0.00010855330148404844
deltaLambda_over_lambda0,GaussianProcess,80,704,4.55324946201201e-05,1.4403109858370269e-05,0.9999997438889808,4.899314104440638e-05
